ACTION_HAPPENING,I can't do two things at once...,二つのことは同時にできない…,
ADD_TO_BLUEPRINT,Add {0} to {1},{0}を{1}に足す,
BY_AUTHOR,By {0},{0}著,
AVAILABLE,Available,購入可能,
BLUEPRINT_FULL,{1} already has enough of {0},{1}にはこれ以上{0}は必要ない,
BLUEPRINT_RESEARCH_TAB,Research,研究,
BLUEPRINT_SHOP,Shop,ショップ,
BLUEPRINT_UNLOCKED,New Blueprint Unlocked!,新しい設計図をアンロックした！,
BOOKMARK_NOT_FOUND,There is no {0} here,ここに{0}はない。,
BOOKMARK_TITLE_WITH_LIQUID,{0} ({1}),{0}({1}),
BUILD,Build,建設する,
BUILT,Built,建設済み,
BUY_TO_CONTINUE,Congratulations on surviving for {0} days!,{0}日の生存おめでとう！,
CANCEL,Cancel,キャンセル,
CANNOT_AFFORD,Not enough {0} to buy this...,これを買うには{0}が足りない…,
CANNOT_EQUIP_MORE,Cannot equip more than {0} {1},{0}の{1}以上装備できない。,
CANNOT_EQUIP_PINS,Pins cannot be equipped!,画鋲は装備できないよ！,
CANNOT_INSPECT,Take item out of container to inspect.,確認するには、容器から出してみよう,
CANNOT_MAKE_BLUEPRINT,{0} cannot be made here...,ここでは{0}を作成できない…,
CHARACTER,Character,キャラクター,
CHARACTER_CREATOR,Create New Character,新しいキャラクターを作る,
CLEAR_CARD_FILTERS,Clear Filters,フィルターをリセットする,
CONFIRM,Confirm,確認する,
CONFIRM_RESEARCH_SWITCH,Currently researching {0}.\nSwitch research to {1}?\n(You will keep research progress on {0}),{0}を研究中。\n{1}の研究を開始する？\n（{0}の進捗は維持される）,
COOKING_TIME_TEXT,Ready in {0},終了まで{0},
CURRENT_STATUS,Current Status,現在のステータス,
CUSTOM_CHARACTERS,Custom Characters,カスタムキャラクター,
CUSTOM_PORTRAIT_COUNT,Default portrait resolution is 344x446\n{0}/{1} portraits saved,アートのデフォルトの解像度は344x446\n{0}/{1}保存済み,
DAMAGES,Damages,ダメージ,
DAY_COUNTER,Day {0},{0}日目,
FORMAT_DAYS,0D,0D,
DAYS_SURVIVED,I survived for {0} days.,{0}日間生き残った。,
DEFAULT,Default,デフォルト,
DEFAULT_CHARACTER,Default Character,デフォルトキャラクター,
COOKING_SLOT,DRAG ITEMS HERE TO COOK,料理をするには、アイテムをここにドラッグする,
EMPTY_RECIPE_SLOT,COME BACK LATER,また後で来よう,
ENCOUNTER_ENEMY_GETTING_CLOSE,{0} is approaching you.,{0}が近づいてきてる,
DEFAULT_ENCOUNTER_ENEMY_NAME,Enemy,敵,
FUEL_FULL,{0} is full,{0}は燃料が満タン,
FUEL_ZERO,{0} ran out of fuel,{0}は燃料がない,
INVENTORY_SLOT,DRAG ITEMS HERE,アイテムをここにドラッグする,
PROGRESS_FULL,{0} is complete,{0}完成！,
PROGRESS_ZERO,{0} ran out of uses,{0}を使い果たした。,
SPOILAGE_FULL,{0} is good as new,{0}は新品同様だ。,
SPOILAGE_ZERO,{0} spoiled,{0}が駄目になった。,
USAGE_FULL,{0} is good as new,{0}は新品同様だ。,
USAGE_ZERO,{0} broke,{0}が駄目になった。,
DEMO_OVER,END OF FIRST DAYS,初日終了！,
DIFFICULTY_SCORE,Difficulty: {0}pts,難易度：{0}ポイント,
DISCARD_ACTION_DESC,Permanently get rid of this object.,このオブジェクトを破棄する。,
DISCARD_ACTION_TITLE,Discard,破棄,
DISMANTLE_DESC,Collect all items and revert to previous building stage.,全てのアイテムを集めて、前のステップに戻る。,
DISMANTLE_DESC_FIRST_STEP,Collect all items and destroy building.,全てのアイテムを集めて、建物を破壊する。,
DO_STACK_ACTION,Do x{0},x{0}をする。,
DURATION,Duration,待ち時間,
EMPTY,Empty,空っぽ,
NO_CHARACTER_BIO,You don't remember anything before the island...,島に来る前の記憶がない…,
EQUIP_CARD,Equip {0},{0}を装備する,
EQUIPMENT,Equipment,装備,
EVENT_TITLE,EVENT,イベント,
EXPLORATION,Exploration,探検,
EXPLORED,Explored,探検した,
EXPLORING,Exploring,探検中,
FILL_WITH_LIQUID,Fill {0} with {1},{0}に{1}を入れる,
FINISHED_COOKING,{0} finished cooking {1},{0}は、{1}を料理した,
FINISHED_COOKING_EMPTY,{0} is ready,{0}ができた,
GAME_OVER,GAME OVER,ゲームオーバー,
PLACEHOLDER_DISCLAIMER,{0}\n\n<b>-The text above is a placeholder-</b>,{0}\n\n<b>上記のテキストはプレースホルダー</b>,
HOLD_FOR_ACTION,Hold for action...,長押しで行動する…,
HOLD,Hold,長押し,
HOPE_GOOD_TIME,We hope you had a good time!,プレイして頂きありがとうございます！,
FORMAT_HOURS,0h,0時間,
HOVER,Hover,ホバー,
IMPORT_PORTRAIT,Import Custom Portrait,デバイスからの画像を使用する,
IMPOSSIBLE_ACTION,I can't do this now...,今は無理そう…,
IMPROVEMENT_DESC,{0} on a card for info,情報を確認するには、カードに{0}してみよう,
IMPROVEMENTS,Improvements,アップグレード,
INSPECTION_TITLE,DETAILS,情報,
INTERACTION,Interaction,調べる,
INVENTORY_CANNOT_CARRY,{0} doesn't have room for this…,{0}はこれを持つ余裕はない,
INVENTORY_FULL,inventory full,アイテムがいっぱい,
IS_NOT_EQUIPMENT,{0} is not equippable,{0}は装備できない,
JOURNAL_SUBTITLE_NAME,The {0} tale of {2}\n({1}),{2}の{0}物語\n({1}),
LIQUID_AUTO_FILLING,Filling with {0},{0}を入れる途中,　
LIQUID_CONTAINER_EMPTY,{0} is empty,{0}は空っぽ,
LIQUID_TRANSFER,Transfer Liquid,液体を移す,
LOAD,Load,ロード,
LOADING,LOADING,ロード中,
FORMAT_MINUTES,0min,0分,
MISSING_CARD_INHAND,Missing {0} in hand,手札には{0}がない,
MISSING_CARD_ONBOARD,Missing {0},{0}がない,
MOVE_ITEM_TO_LOCATION,Move {0} to {1},{0}を{1}に移す,
NEW_BLUEPRINT,New Blueprint,新しい設計図,
NEW_DAMAGE,Something got damaged!,何かが損傷した！,
NEW_IMPROVEMENT,New Improvement,新しいアップグレード,
NO_DAMAGES,No Damages To Repair,修理の必要はない,
NO_IMPROVEMENTS,No Improvements Unlocked,アップグレードをアンロックしていない,
NONE,None,なし,
OFFICIAL_CHARACTERS,Premade Characters,既製キャラクター,
PAUSED,Paused,ポーズ中,
ENCOUNTER_AND,... and {0},…{0},
ENCOUNTER_BUT,... but {0},…{0},
PLAYER_CANNOT_CARRY,This is more than I can carry...,多過ぎて持てない…,
RESEARCH,Research,研究,
RESEARCHING,Researching...,研究中…,
RESUME,Resume,再開,
SAFETY_MODE,Safety Mode,セーフモード,
SAVE,Save,セーブ,
SAVE_NEW_GAME,Save New Game,ニューゲームとしてセーブする,
SELECT_CHARACTER,SELECT CHARACTER,キャラクター選択,
SELECTED_CARDS,Selected Cards,選択したカード,
SLOT,Slot,スロット,
START_BUILDING,Start the construction of ,次の建設：,
STAT_INFLUENCES,Influenced by,影響する物,
INVENTORY_STORE,Store inside,ショップ内,
SUCCESS_CHANCE,Success,成功,
SURVIVAL_BONUS,Survival bonus,サバイバルボーナス！,
TIME_IS_BETWEEN,It's between {0} and {1},{0}と{1}の間,
TIP,Tip,ヒント,
TRANSFER_TO_LOCATION,Move Item,アイテムを移す,
TRASH_CONFIRM,Throw {0} away?,{0}を捨てる？,
DEMO_UNAVAILABLE,Full Game Only,製品版のみ,
UNKNOWN_AUTHOR,Unknown Author,著者不明,
TO_UNLOCK,To unlock: ,アンロックリスト：,
VICTORY,I SURVIVED!,生き残った！,
VICTORY_BONUS,Victory Bonus,勝利ボーナス,
ENCOUNTER_WEAPON_AND_PROJECTILE,{0} and {1},{0}と{1},
WOUNDED,YOU GOT WOUNDED!,怪我をしてしまった！,
WOUNDS,Wounds,怪我,
GuideManager_AllTips[0],Stay hydrated! Dehydration will kill you much faster than starvation.,水分補給を心がけて！飢餓より脱水の方が命に関わることだ。,
GuideManager_AllTips[1],You can bookmark cards from their description windows so you can quickly jump to them.,カードの説明欄からブックマークを付けておけばすぐにそのカードを選ぶことができる。,
GuideManager_AllTips[2],You can right-click on cards to make them quickly jump from one row to another.,右クリックすることで別の行へとすぐに移動できる。,
GuideManager_AllTips[3],You can move stacks from one row to another by holding left-click on the top or bottom of a card.,マウスの左ボタンを長押しすることでカードのスタックの列を変えることができる。,
GuideManager_AllTips[4],You can cut down Banana Trees and get fresh water from their stumps.,バナナの木を切った後、切り株から真水を取得できる。,
GuideManager_AllTips[5],"You can refill perforated coconuts, just make sure they don't rot while liquids are inside.",空っぽのココナッツの中に液体を入れるておくことができる。でも、ココナッツが腐らないように気を付けないと。,
GuideManager_AllTips[6],Keep an eye on your temperature. Heat and cold CAN and WILL kill you!,体温は常に気にしておこう。暑さや寒さは簡単に君を殺すだろう。,
GuideManager_AllTips[7],"If you're too hot, consider taking clothes off or getting wet to lower your temperature.",暑すぎる場合は、服を脱いだり、体を濡らしたりして体温を下げよう。,
GuideManager_AllTips[8],Take 15 minutes break when low on stamina to avoid overheating and exhausting yourself too much.,体力がない場合は、疲労を防ぐ為に15分ほど休もう。,
GuideManager_AllTips[9],"Aloe Vera can help you treat and prevent Sunburn, Bug Bites and Backpain among other things.",日焼け、虫刺されと腰痛の治療にはアロエベラを塗ればいい。,
